,의안번호,의안명,제안일자,제안자구분,의결일자,의결결과,제안회기,제안이유,소관위원회,제안자,발의자,제안정당,성별,여성의원 수
0,1814762,청소년 가출예방 및 자립지원에 관한 법률안,2012-05-25,의원,2012-05-29,임기만료폐기,제18대 (2008~2012) 제307회,"   빈곤, 부모의 이혼, 가정폭력, 학대, 방임 및 학교부적응 등 복합적인 원인에 의한 청소년들의 가출이 늘어나고 있음. 가출청소년들은 탈선과 비행의 경향을 보일 뿐만 아니라, 최근에는 가출이 반복화·장기화됨과 아울러 최초로 가출하는 연령도 낮아지는 경향을 보이고 있어 그 심각성을 더하고 있음.그럼에도 불구하고 현재 이루어지고 있는 청소년 가출에 대한 대책은 가정으로 보내거나, 일시적인 보호시설에 수용하는 등 단순한 조치에 그치고 있어 문제의 근본적인 해결을 위한 정책적 대책이 요구되고 있음.이에 청소년의 가출예방과 자립지원을 위한 지원체계로서 대통령 직속 ‘가출청소년 대책위원회’, 중앙조직으로서 ‘청소년가출예방중앙지원센터’, 지역조직으로서 ‘가출청소년통합지원센터’를 설치함과 아울러 청소년 가출예방을 위한 기본계획에 기반을 둔 가출청소년을 위한 통합적 사회복지지원체계를 마련하여 가출청소년을 우리 사회의 구성원으로서 건강하게 자랄 수 있도록 법적·제도적 기반을 마련하려는 것임.주요 내용가. 이 법의 목적은 청소년의 가출을 예방하고 자립을 지원하여 가정, 학교, 사회로의 건강한 복귀를 위한 제도적 기반을 마련하는 것으로 함(안 제1조).나. 본인의 의사로 보호자의 보호관계로부터 이탈하여 생활하는 청소년을 ‘가출청소년’으로 정의하고, 자립을 희망하는 가출청소년으로서 자립에 필요한 주거·생활·교육·취업·자산형성 등의 지원이 필요한 청소년을 ‘자립청소년’으로 정의함(안 제3조).다. 국가 및 지방자치단체에 가출·자립청소년정책의 수행에 필요한 법적·제도적 장치를 마련과 필요한 재원의 안정적 확보라는 책무를 규정함(안 제4조).라. 종합적인 가출·자립청소년정책을 수립하고 관계기관 간의 연계·조정과 상호협력을 위하여 대통령 소속으로 ‘가출청소년 대책위원회’를 설치함(안 제6조 및 제7조).마. 국가는 가출청소년 대책위원회의 심의를 거쳐 가출·자립청소년의 복지·교육·문화·자립지원 등에 관한 기본계획을 3년마다 수립하고, 관계 중앙행정기관의 장과 시·도지사 및 교육감은 매년 기본계획에 따라 가출청소년에 관한 연도별 시행계획을 수립？시행하도록 함(안 제8조 및 제9조).바. 여성가족부장관은 가출청소년 복지·교육·문화 지원 정책을 수립·시행하기 위하여 가출청소년에 대한 실태조사 등을 3년마다 실시하도록 함(안 제11조제1항).사. 여성가족부장관은 가출청소년 정책이 가출청소년의 빈곤 퇴치와 긴급지원 및 복지·교육·문화 등에 미칠 영향과 결과에 대하여 3년마다 분석·평가를 실시하고 그 결과를 국회에 보고하며 필요한 사후조치를 하도록 함(안 제11조제2항).아. 가출 장기화로 인한 가출청소년의 비행과 탈선을 방지할 수 있게 하기 위하여 가출 청소년 보호자 및 국민의 가출청소년 신고의무를 규정함(안 제13조).자. 가출청소년에 대한 긴급구조, 보호·복지지원, 상담지원, 특별지원, 교육지원, 의료지원, 자립지원 등 필요한 지원을 하도록 함(안 제14조부터 제20조까지).차. 청소년 가출 예방 및 가출청소년의 가정·사회 복귀를 돕기 위한 독립기관으로서 ‘청소년가출예방중앙지원센터’를 설립함(안 제23조부터 제29조까지).카. 광역 및 기초 지방자치단체에 가출청소년 지원을 위한 ‘가출청소년 통합지원센터’를 설치·운영하도록 함(안 제30조).타. 가출청소년 통합지원센터의 장은 보호자의 서면에 의한 명시적인 반대의사가 없는 이상 보호 중인 가출청소년에 대한 보호·교양의 의무를 갖는 것으로 함(안 제32조).파. 가출청소년통합지원센터의 전문성을 확보하기 위하여 센터 종사자들의 고용안정에 관한 특칙을 둠(안 제33조).  ",여성가족위원회,"['강명순', '권영진', '권택기', '김무성', '김성태', '김소남', '김용태', '김태원', '나성린', '박대해', '배은희', '손숙미', '신상진', '심재철', '안효대', '여상규', '유일호', '이두아', '이종혁', '이춘식', '이한성', '임동규', '정두언', '정수성', '주호영']",강명순,새누리당,여성,5
1,1814751,저출산·고령사회기본법 일부개정법률안,2012-05-02,위원장,2012-05-02,원안가결,제18대 (2008~2012) 제307회,"   위 9건의 법률안을 심사한 결과, 이들을 제304회 국회(임시회) 저출산고령화대책특별위원회 제4차 전체회의(2011. 12. 22)에서 본회의에 부의하지 아니하기로 하고, 국회법 제51조에 따라 위원회 대안을 제안하기로 의결함.■  저출산？고령사회 정책 관련 사업수행체계를 일원화하고, 관련 부처 간의 정책적 조율 및 협력을 원활하게 하기 위해 저출산？고령사회위원회의 소속을 보건복지부 장관에서 대통령으로 격상하고,저출산？고령화 문제의 해결을 위해 국가 및 지방자치단체로 하여금 국민이 저출산 및 인구의 고령화 문제의 중요성을 이해하고, 결혼？출산 및 가족생활에 대한 합리적인 가치관을 형성할 수 있도록 하는 인구교육을 활성화하는데 필요한 시책을 강구하도록 하며,아동 양육비 지원정책 입안의 기본 자료를 마련하도록 하기 위하여 자녀양육비 추정 통계조사를 실시할 수 있도록 근거를 마련함.또한, 고령화 사회를 대비하기 위하여 국가 및 지방자치단체로 하여금 국민이 행복하고 활기찬 노후생활을 설계하기 위한 적절한 상담과 교육을 받을 수 있도록 필요한 시책을 강구하도록 하려는 것임. 가. 국가 및 지방자치단체로 하여금 국민에 대한 인구교육을 활성화하도록 함(안 제7조의2 신설).나. 국가 및 지방자치단체로 하여금 아동 양육비 지원정책 입안의 기본 자료 마련을 위한 자녀양육비 추정 통계조사를 실시할 수 있도록 함(안 제10조제2항 신설).다. 국가 및 지방자치단체로 하여금 국민이 행복하고 활기찬 노후생활을 설계하기 위한 적절한 상담과 교육을 받을 수 있도록 필요한 시책을 강구하도록 함(안 제15조의2 신설).라. 저출산？고령사회위원회의 소속을 보건복지부 장관에서 대통령으로 격상함. (안 제23조)■ 부대의견현재 지방자치단체가 실시하고 있는 출산장려금의 지역별 편차가 크게 나타나고 있으므로, 보건복지부는 이를 완화하는 방안을 마련할 수 있도록 행정안전부와 협의한다.  ",저출산고령화대책특별위원회,[],위원장,위원장,,0
2,1814743,모자보건법 일부개정법률안,2012-05-02,위원장,2012-05-02,원안가결,제18대 (2008~2012) 제307회,"   위 2건의 법률안을 심사한 결과, 제304회 국회(임시회) 제1차 전체회의(2011. 12. 27.)에서 본회의에 부의하지 아니하기로 하고 「국회법」제51조에 따라 위원회 대안으로 제안하기로 의결함.■  법률상 ‘불임’이라는 용어를 ‘쉽게 임신이 되지 아니하지만 치료를 통해 임신이 가능한 상태’를 뜻하는 ‘난임’으로 하여 난임가정에 희망을 주고 난임에 대한 사회적 인식을 전환하여 최근 심각한 국가적 과제로 인식되고 있는 저출산 문제의 해결에 기여하는 한편,무분별한 인공임신중절 등을 예방하는 사업을 실시함으로써 모성건강을 보호하고 생명을 존중하는 사회분위기 조성하려는 것임. 가. ‘불임’이라는 용어를 ‘난임’으로 변경함(안 제11조).나. 인공임신중절 예방 등에 필요한 사업을 실시할 수 있도록 근거 규정을 신설함(안 제12조).  ",보건복지위원회,[],위원장,위원장,,0
3,1814699,유아교육법 일부개정법률안,2012-02-27,위원장,2012-02-27,원안가결,제18대 (2008~2012) 제306회,"  ■ 대안의 제안경위가. 2009월 7월 7일 원희목의원 등 12인, 2009년 8월 27일 안민석의원 등 15인, 2010년 11월 3일 권영진의원 등 13인이 각각 발의한 「유아교육법 일부개정법률안」을 제298회국회(임시회) 교육과학기술위원회(2011. 3. 4)에 상정한 후 제3차 교육과학기술위원회(2011. 3. 7)에서 법안심사소위원회에 회부함.나. 2010년 4월 27일 윤상일의원 등 10인이 발의한 「유아교육법 일부개정법률안」을 제301회국회(임시회) 교육과학기술위원회(2011. 6. 14)에 상정한 후 법안심사소위원회에 회부함.다. 2011년 10월14일, 2011년 12월 6일 정부가 제출한 2건의 「유아교육법 일부개정법률안」과 2011년 12월 26일 서상기의원 등 10인이 발의한 「유아교육법 일부개정법률안」은 「국회법」제58조제4항에 따라 교육과학기술위원회 상정절차 없이 바로 법안심사소위원회로 회부함.라. 제305회국회(임시회) 제1차 법안심사소위원회(2012. 2. 7), 제2차 법안심사소위원회(2012. 2. 10) 및 제3차 법안심사소위원회(2012. 2. 13)는 위 7건을 병합하여 심사하고, 제3차 법안심사소위원회(2012. 2. 13)는 7건을 각각 본회의에 부의하는 대신 이를 통합·조정한 위원회대안을 제안하기로 의결함.마. 제305회국회(임시회) 제1차 교육과학기술위원회(2012. 2. 14)는 법안심사소위원회가 보고한 대로 「유아교육법 일부개정법률안(대안)」을 채택하고 7건의 법률안은 각각 본회의에 부의하지 않기로 함.■ 대안의  유아교육에 대한 학부모의 부담과 저출산 문제를 해결하고자 현재 초등학교 취학직전 1년의 유아에 한하여 실시하고 있는 무상 유아교육을 초등학교 취학직전 3년의 모든 유아로 확대하고, 유치원 운영의 자율성을 높이기 위하여 유치원운영위원회를 설치할 수 있도록 함과 동시에 유치원 또는 이와 유사한 명칭을 사용한 자에게 과태료를 부과하도록 하는 등 현행 제도의 운영상 나타난 일부 미비점을 개선ㆍ보완하려는 것임.■ 대안의  가. 유치원 교육과정 운영을 반일제, 시간연장제 및 종일제로 구분하는 것을 제13조제1항에 따른 교육과정 운영과 교육과정 이후에 이루어지는 그 밖의 교육활동과 돌봄활동인 “방과후 과정”으로 나누고, 방과후 과정에 대한 정의와 관련 조문을 정비함(안 제2조제6호, 제12조제2항, 제13조 등).나. 유아의 유치원생활기록 및 검강검진에 관한 자료를 보호자의 동의 없이 제3자에게 제공할 수 없도록 함(안 제17조의2 및 제34조제2항제4호 신설)다. 유치원 운영의 자율성을 높이고 지역의 실정과 특성에 맞는 다양한 교육을 창의적으로 실시할 수 있도록 하는 동시에 원장 공모에 관한 사항 등을 심의하기 위해 유치원에 교원(敎員) 대표, 학부모 대표로 구성되는 유치원운영위원회를 설치ㆍ운영할 수 있도록 함(안 제19조의3부터 제19조의6까지 신설).라. 국립·공립유치원에 3월 1일부터 다음 해 2월 말일까지를 회계연도로 하는 유치원회계를 설치하도록 함(안 제19조의7 및 제19조의8 신설)마. 초등학교 취학직전 3년의 유아교육에 대한 무상교육을 도입하고, 무상교육 대상이 아닌 유아에 대한 비용지원 관련 현행 규정을 삭제함(안 제24조제1항, 제26조제1항·제2항과 제26조의2부터 제26조의5까지 및 제34조제1항 삭제)바. 무상교육에 따라 국가 및 지방자치단체가 부담하는 비용은 표준유아교육비를 기준으로 교육과학기술부장관이 예산의 범위 내에서 관계 행정기관과 협의하여 고시하도록 함(안 제24조제3항 및 제4항 신설)사. 유아의 보호자가 거짓이나 그 밖의 부정한 방법으로 교육비용을 지원받은 경우 그 비용을 환수할 수 있도록 하고, 거짓이나 그 밖의 부정한 방법으로 교육비용을 지원받거나 타인으로 하여금 지원을 받게 한 자를 형벌에 처하도록 함(안 제28조제2항·제3항 및 제34조제3항제1호 신설)아. 이 법에 따른 유치원이 아니면 유치원 또는 이와 유사한 명칭을 사용하는 것을 금지하고 이를 위반한 자에게 500만원 이하의 과태료를 부과하도록 함(안 제28조의2 및 제35조 신설).※  이 법률안의 유치원운영위원회 관련 부분은 서상기의원이 대표발의한 「교육공무원법 일부개정법률안」(의안번호 제14233호)의 의결을 전제로 하는 것이므로, 그 법률안이 의결되지 아니하거나 수정의결되는 경우에는 그에 맞추어 조정되어야 함.  ",교육과학기술위원회,[],위원장,위원장,,0
4,1814659,보조생식에 관한 법률안,2012-02-10,의원,2012-05-29,임기만료폐기,제18대 (2008~2012) 제305회,"  ■  현재 난임으로 인한 보조생식 시술이 증가하고 있으나 보조생식에 관하여 「생명윤리 및 안전에 관한 법률」 등 관련 법률에서는 비배우자간의 보조생식이나 대리모 문제와 같은 중요한 사항에 관하여 규정하지 않고 있어 가족관계의 혼란, 대리모 여성의 도구화 등 많은 사회적 문제들을 방치하고 있는 상황임.이에 보조생식에 있어 금지되어야 할 사항을 규정하는 한편, 잔여배아가 발생하지 않도록 하고 보조생식 시술의 횟수를 제한할 뿐 아니라, 보조생식시술 대상자에게 미리 설명해야 할 사항을 규정하여 여성의 건강을 보호하고, 이를 통해 인간 배아가 부당하게 훼손될 수 있는 위험성을 방지하려는 것임. 가. 보조생식에서 금지되어야 하는 사항을 정함(안 제4조).나. 잔여배아가 발생하지 않도록 하고 여성의 건강을 위하여 보조생식시술의 횟수를 제한함(안 제5조).다. 보조생식에 따른 부작용 등에 관하여 시술 의사가 보조생식 시술대상자에게 설명해야 하는 의무를 정하고, 보조생식 시술대상자의 동의취소권을 명시함(안 제6조).라. 배아 유전자검사시 주의사항과 제한사유를 정함(안 제7조).마. 보조생식의 이용에 관한 조사·연구와 보조생식 시술현황에 관한 정보·통계를 관리하기 위한 배아생성의료기관의 보고의무를 정함(안 제8조).  ",보건복지위원회,"['이영애', '김정', '김혜성', '이두아', '이성남', '임영호', '정미경', '정영희', '정옥임', '최경희']",이영애,새누리당,여성,9
5,1814654,남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안,2012-02-09,의원,2012-05-29,임기만료폐기,제18대 (2008~2012) 제305회,"    를 입력하세요현행법상 직장내 성희롱 예방교육을 1년에 한번을 하도록 지정하고 있으나 여성의 사회참여가 늘면서, 남성들의 성희롱적 발언이나 행동이 늘어나고 있는 상황이고 따라서 성희롱에 대한 예방을 강화하고, 경각심을 심어주기 위해 지금보다 더 적극적인 교육이 절실히 필요함.이에 현재의 성희롱 예방 교육횟수를 1년에 1회 이상에서 6개월에 1회 이상으로 늘림으로 인해, 성희롱에 대한 경각심을 높여 성희롱 사고를 미리 예방하고자 함. 현재 직장내 성희롱 예방 교육횟수를 1년에 1회 이상에서 6개월에 1회 이상으로 늘리고자 함.(안 제13조제1항)  ",환경노동위원회,"['전현희', '김영록', '김을동', '김효석', '박기춘', '박은수', '백원우', '변웅전', '이춘석', '주승용']",전현희,민주통합당,여성,2
6,1814625,특정강력범죄의 처벌에 관한 특례법 일부개정법률안,2012-02-03,의원,2012-05-29,임기만료폐기,제18대 (2008~2012) 제305회,"    및  아동·청소년에 대한 성범죄가 갈수록 심각한 사회문제가 되는 가운데 특정강력범죄에 아동·청소년 대상 성범죄를 새로이 추가할 필요가 있음.따라서 특정강력범죄에 새로이「아동·청소년의 성보호에 관한 법률」 제7조, 제9조 및 제11조부터 제12조까지의 죄를 추가하여 이들 범죄도 특정강력범죄가 되도록 개정하여 이들 범죄에 누범의 형을 적용할 수 있도록 하여 처벌을 강력히 하고자 하는 것임(안 제2조제1항제7호 신설).  ",법제사법위원회,"['최영희', '강창일', '박은수', '백원우', '원혜영', '이성남', '이춘석', '정범구', '주승용', '추미애']",최영희,민주통합당,여성,3
7,1814558,여성농어업인 육성법 일부개정법률안,2012-01-20,의원,2012-05-29,임기만료폐기,제18대 (2008~2012) 제305회,"  ■   및  현행법에서는 국가와 지방자치단체가 여성농어업인의 경영능력 및 지위 향상, 모성보호, 보육여건 개선 및 삶의 질 향상을 위하여 여성농어업인을 지원할 수 있도록 규정하고 있음.그러나 여성농어업인은 도시거주 여성에 비해 여가 또는 복지시설, 법률적 구제 방안 등에 관한 정보의 부족으로 인하여 여가활동·고충처리, 부부 양성평등 추구 및 가정폭력에 대한 대처가 어려운 실정임. 따라서 지금까지 농어촌사회 발전에 기여한 여성농어업인에 대하여 국가와 지방자치단체는 평등한 가족관계 관련 교육, 여성농어업인의 가정폭력 피해 보호·지원 및 고충상담 프로그램을 제공하여 그들의 권익을 보호하고 지위를 향상시키려는 것임(안 제10조의2·제11조의3 및 제11조의4 신설).  ",농림수산식품위원회,"['황영철', '김성수', '김성식', '김세연', '박민식', '박준선', '신성범', '유성엽', '정해걸', '조진래']",황영철,새누리당,남성,0
8,1814546,성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안,2012-01-19,의원,2012-05-29,임기만료폐기,제18대 (2008~2012) 제305회,"    및  현행 성폭력범죄의 처벌 등에 관한 특례법에는 화장실 등 공공장소에 몰래 들어가 성적욕망을 충족하기위해 이성의 신체를 훔쳐보거나 소리를 엿듣는 등의 변태적인 행동을 하다가 적발되어도 이를 처벌할 명확한 법적 근거가 없음.위와 같은 성범죄 행위를 하다가 적발 되더라도 해당 법적근거가 없어 성범죄’가 아닌 형법 제330조에 따른 주거침입의 혐의를 적용해야하거나, 아예 죄를 물을 수 없는 경우도 발생하고 있음.이는 명백히 피해자의 성적 수치심을 유발해 인권을 침해하는 행위이므로 안 제11조의2를 신설하여 성적욕망을 충족하기위해 공공장소에 몰래 침입할 경우 범인을 처벌할 타당한 법적 근거를 마련하고자 함(안 제11조의2 신설).  ",법제사법위원회,"['이진복', '김무성', '김호연', '박민식', '안홍준', '유재중', '정갑윤', '정진섭', '조문환', '최구식', '최병국']",이진복,새누리당,남성,0
9,1814505,영유아보육법 일부개정법률안,2012-01-06,의원,2012-05-29,임기만료폐기,제18대 (2008~2012) 제304회,"  ■   및  우리나라의 출산율은 세계 최저 수준으로서 저출산이 고령화와 더불어 심각한 사회문제로 대두되고 있는 가운데, 국민이 안심하고 자녀를 출산·양육할 수 있도록 하는 적극적인 보육정책의 실시는 저출산 문제의 해결을 위한 근본적인 대책일 될 것임.현행법은 효과적인 보육정책의 시행을 위해서 정기적으로 보육실태를 조사하도록 하고 있으나, 최근 어린이집 내 영유아에 대한 학대행위가 사회적 물의를 일으키는 등 보육환경의 변동성이 심하고 이에 따라 보육에 대한 국민의 요구가 성장함에 따라 이를 보육정책에 적시에 반영할 필요가 있음.이에 최근 법률을 개정하여 보육현황에 관한 실태조사를 5년마다 실시하던 것을 3년마다 실시하도록 하였으나, 이로서는 현장의 변화 및 요구를 정책에 적시에 반영하는 것이 어려울 것임.따라서 보건복지부장관은 매년 보육 실태 조사를 실시하도록 함으로써 보육환경의 변화 및 국민의 요구를 적시에 반영한 효과적인 보육정책을 수립·시행하도록 하려는 것임(안 제9조제1항).  ",보건복지위원회,"['조경태', '강기갑', '강창일', '김성곤', '김세연', '김영록', '김춘진', '김학송', '백재현', '유선호', '조배숙']",조경태,민주통합당,남성,1
